title,company,skills,Type,Duration,experience_level,salary,date_posted,city,governorate,country
treasury manager,confidential,"treasury, banking, accounting, cash management, finance, ctp, financial, financial analysis",on-site,full time,manager,,2 months ago,dakahlia,dakahlia, egypt
hr specialist,confidential,"human resources (hr), microsoft office, recruitment, administration, business administration, communication, human resources, payroll, personnel",on-site,full time,experienced,,2 months ago,mansoura, dakahlia, egypt
hr business partner (hrbp),confidential,"ms office, hr strategy, hr systems, business english, detail oriented, business accumen",on-site,full time,experienced,,2 months ago,heliopolis, cairo, egypt
dental manager (dentist only),al fawzy dental,"front desk, medical, office management, communication, communication skills, customer service, skills, english, microsoft office",on-site,full time,manager,,2 months ago,agouza, giza, egypt
financial control manager,confidential,"accounting, finance, financial, financial analysis, financial management, financial controling, financial controlling, risk management",on-site,full time,manager,,2 months ago,heliopolis, cairo, egypt
budgeting and planning manager,confidential,"budgeting, management, planning, project management, sales, financial planning, accounting",on-site,full time,manager,,2 months ago,heliopolis, cairo, egypt
male aba therapist/ rbt,autism alliance,"aba, rbt, special educator",on-site,full time,experienced,,2 months ago,cairo,cairo, egypt
talent management supervisor,sipes,"talent management, human resources (hr)",on-site,full time,experienced,,2 months ago,heliopolis, cairo, egypt
planning specialist,speed sc & logistics,"planning, procurement, purchasing, business administration, communication, engineering, erp",on-site,full time,entry level,,2 months ago,alexandria,alexandria, egypt
e-commerce operations specialist,whitesky,"commerce, e-commerce, e-marketing",hybrid,full time,entry level,,2 months ago,6th of october, giza, egypt
fleet maintenance manager,kadmar group,"preventive maintenance, repair, logistics, mechanical engineering, fleet maintenance, engineering, maintenance, management",on-site,full time,manager,,2 months ago,alexandria,alexandria, egypt
senior hr generalist,lufian,"human resources (hr), personnel, microsoft office",on-site,full time,experienced,,2 months ago,ameria, alexandria, egypt
architecture technical office engineer,el mansour development,"architecture, autocad, engineering, microsoft office, technical office, quantity surveying, shop drawings, surveying",on-site,full time,experienced,,2 months ago,cairo,cairo, egypt
testing commissioning engineer,"ls electric co., ltd.","commissioning, electrical engineering",on-site,full time,experienced,,2 months ago,new cairo, cairo, egypt
call center agent ( b1+ english ),etisalat egypt,"call center, customer care, customer service, customer support, english, customer relations, custom clearance, customs clearance, customer satisfaction",on-site,full time,entry level,,2 months ago,new cairo, cairo, egypt
b2b corporate sales specialist (it solutions & training),senior steps,"b2b, corporate sales, sales, sales target",hybrid,full time,entry level,,2 months ago,nasr city, cairo, egypt
technical office engineer,egypt africa,"engineering, technical office, architecture, civil engineering, computer science, construction, information technology (it), microsoft office",on-site,full time,experienced,,2 months ago,katameya, cairo, egypt
