title,company,skills,Type,Duration,experience_level,salary,date_posted,city,governorate,country
foreign purchasing supervisor,aug pharma,"foreign purchasing, purchasing, supply chain",on-site,full time,experienced,,16 days ago,6th of october, giza, egypt
senior sales real estate,everest mohammed and mounir,"real estate, sales, sales target, communication, customer service, negotiation, projects, real estate sales",on-site,full time,experienced,,16 days ago,new cairo, cairo, egypt
online business english instructor - project based,sye english community,"business english instruction, adult education, classroom management, communication skills, feedback and evaluation, lesson planning, interactive teaching, professional english proficiency",remote,freelance / project,entry level,,16 days ago,nasr city, cairo, egypt
credit & ar accountant,confidential,"accounts receivable management, credit control, financial analysis, accounting principles, data reconciliation, customer relationship management, attention to detail, erp systems, accounting software",on-site,full time,experienced,,16 days ago,alsadat city, monufya, egypt
graphic designer,kig konnice,"3d design, graphic design, adobe photoshop, cinema 4d, 3ds max, design, adobe illustrator, creative, graphic design software",on-site,full time,experienced,,16 days ago,shorouk city, cairo, egypt
pre-school french teacher,leap development hub,"teaching, education, nursery, school, french",on-site,full time,experienced,,16 days ago,new cairo, cairo, egypt
e-commerce operations specialist,mini 4wd egypt,"e-commerce, commerce, e-marketing, seo, ai, analysis, design, management",hybrid,full time,entry level,,16 days ago,zaytoun, cairo, egypt
talent acquisition specialist,al salmanya,"applicant tracking systems, recruitment, talent acquisition, hr, human resources (hr), talent acquisition, interviewing",on-site,full time,experienced,,16 days ago,cairo,cairo, egypt
us telesales specialist,cultiv,"customer service, telesales, sales",on-site,full time,entry level,,16 days ago,maadi, cairo, egypt
chief accountant.,arab food,"accounting, finance, analytical",on-site,full time,manager,,16 days ago,giza,giza, egypt
development manager,cred developments,"business development, development, information technology (it), construction, management, project management, real estate, sales, project",on-site,full time,manager,,16 days ago,cairo,cairo, egypt
automation test engineer,etisalat egypt,"automation, computer science, information technology (it), software testing, testing, katalon, selenium, java",hybrid,full time,entry level,,16 days ago,mohandessin, giza, egypt
customer service manager,ebss - elite business solution service,"customer service, customer care, customer support, team leadership, conflict resolution, process improvement, performance management, communication skills, problem-solving",on-site,full time,manager,,16 days ago,tanta, gharbia, egypt
project operations coordinator,namaa it,"project management, microsoft office, administration, project",on-site,full time,experienced,,16 days ago,heliopolis, cairo, egypt
human resources executive,eltarek group,"human resources (hr), administration, recruitment, accounting, business administration, hris, human resources, microsoft office",on-site,full time,experienced,,16 days ago,6th of october, giza, egypt
accounts receivable accountant,confidential,"accounting, accounts receivable, finance",remote,full time,experienced,,16 days ago,sheraton, cairo, egypt
qa supervisor,etisal for advanced industries,"qa, quality assurance, quality control, qc",on-site,full time,experienced,,16 days ago,6th of october, giza, egypt
senior react front-end developer,exsys solutions,"computer science, information technology (it), react, javascript, software development",on-site,full time,experienced,,16 days ago,nasr city, cairo, egypt
planning engineer,family corporation,"analysis, communication, engineering, maintenance, management, project, planning",on-site,full time,experienced,,16 days ago,heliopolis, cairo, egypt
insurance officer,exsys solutions,"administration, medical terminology, microsoft office suite, insurance claims processing, customer service, data entry, record keeping, communication skills",on-site,full time,experienced,,16 days ago,cairo,cairo, egypt
accountant,exsys solutions,"accounting, finance, financial analysis, financial management, budgeting, financial reporting, auditing, taxation, microsoft excel",on-site,full time,experienced,,16 days ago,cairo,cairo, egypt
senior accountant,flex asepto,"financial reporting, general ledger management, budgeting and forecasting, account reconciliation, audit coordination, tax compliance, analytical thinking, attention to detail, erp systems",on-site,full time,experienced,,16 days ago,6th of october, giza, egypt
production engineer intern (agriculture background),olam svi,"food science, food production, food processing, food manufacturing, food safety management, mechanical engineering, food hygiene, international food safety management systems standard",on-site,internship,entry level,,16 days ago,6th of october, giza, egypt
junior accountant,de.ci,"accounting, finance, microsoft office",on-site,full time,experienced,,16 days ago,maadi, cairo, egypt
odoo full-stack developer (remote),"elevanta services co., ltd.","odoo, python, orm, qweb, studio, rest apis, git, github",remote,full time,experienced,,16 days ago,cairo,cairo, egypt
production engineer,sadko plast,"engineering, mechanical engineering, production, manufacturing, mechanical, microsoft office, planning",on-site,full time,entry level,,16 days ago,10th of ramadan city, sharqia, egypt
executive director – software operations & projects,confidential,"management, project management, administration, computer science, engineering, information technology (it), erp, software development, software engineering",on-site,full time,experienced,,16 days ago,cairo,cairo, egypt
merchandiser,swiss garment company,"merchandising, retail, sales, erp, garments, textile, fabric",on-site,full time,experienced,,16 days ago,10th of ramadan city, sharqia, egypt
sr. electrical sales engineer,al andalus electrical solutions,"electrical, lighting, sales, electrical engineering, sales target, engineering, sales skills",on-site,full time,experienced,,16 days ago,new cairo, cairo, egypt
qs & payment engineer,confidential,"architecture, civil engineering, engineering, information technology (it), quantity surveying, autocad, computer science",on-site,full time,experienced,,16 days ago,cairo,cairo, egypt
senior hr specialist,inertia,"human resources, recruitment, personnel, management, microsoft office, administration, business administration, communication, human resources (hr)",on-site,full time,experienced,,16 days ago,mokattam, cairo, egypt
hr trainee,savola,"human resources (hr), recruitment, microsoft office, interviewing, administration, hr, hr systems, hr policies",on-site,internship,entry level,,16 days ago,new cairo, cairo, egypt
technical support specialist,talaat moustafa group,"technical support, helpdesk, hardware maintenance, communication, computer science, customer care, customer service, customer support",on-site,full time,entry level,,16 days ago,new cairo, cairo, egypt
material requirements planning (mrp) supervisor,tank,"supply chain, planning, mrp, logistics, engineering, erp, inventory management",on-site,full time,manager,,16 days ago,10th of ramadan city, cairo, egypt
call center agent,talaat moustafa group,"call center, customer care, customer service, customer support, communication, crm, cs, outbound calls, inbound calls",on-site,full time,entry level,,16 days ago,new capital, cairo, egypt
sales account manager (remote),amf system,"marketing, sales, business development, market research, client relationship management, digital marketing, lead generation, negotiation",remote,full time,experienced,,16 days ago,cairo,cairo, egypt
quality assurance section head,musandah fm,"quality assurance, quality control",on-site,full time,experienced,,16 days ago,cairo,cairo, egypt
electrical technical office engineer (bms),protection,"bms, electrical engineering, engineering, technical office, revit, revit mep, autocad, microsoft office, automation engineering",on-site,full time,experienced,,16 days ago,sheikh zayed, giza, egypt
bridge engineer,cdg - dr. gamal helmy,"civil engineering, construction, engineering, bridges, autocad, engineering services",on-site,full time,experienced,,16 days ago,new cairo, cairo, egypt
senior landscape architect engineer,travco group,"landscape, engineering, regional planning, urban, architecture engineering, hotels, construction, landscape engineering",on-site,full time,experienced,,16 days ago,sheikh zayed, giza, egypt
operations & product development manager (remote - egypt),texas carma,"product management, operations",remote,full time,manager,,16 days ago,cairo,cairo, egypt
seo specialist,deutschland technology limited,"social media, seo, marketing, e-marketing, keyword research, google analytics, link building, b2b",on-site,full time,experienced,,16 days ago,obour city, cairo, egypt
accountant / us tax specialist,gahbiz.com,"accounting, bookkeeping, quickbooks",on-site,full time,entry level,,16 days ago,alibrahimiyyah, alexandria, egypt
business development specialist,epsilonai,"b2b, business, business development, development, business administration, sales, sales skills",hybrid,full time,experienced,,17 days ago,nasr city, cairo, egypt
full stack developer (php laravel + nextjs),namaa it,"computer science, information technology (it), php, laravel, software development, javascript, next js",on-site,full time,experienced,,17 days ago,heliopolis, cairo, egypt
fleet coordinator,partner & more,"ms office, logistics, coordination, fleet management, fleet maintenance, administration",on-site,full time,experienced,,17 days ago,6th of october, giza, egypt
.net developer (mid-level),ayady4040,".net, angular, database, design, vb.net, sql, programming language",on-site,full time,experienced,,17 days ago,moharam bek, alexandria, egypt
network & systems engineer,ayady4040,"computer engineering, engineering, information technology (it), network, systems, computer science, vmware",on-site,full time,experienced,,17 days ago,moharam bek, alexandria, egypt
senior textile engineer,tie house,"textile, engineering, fashion",on-site,full time,experienced,,17 days ago,new cairo, cairo, egypt
senior mechanical site engineer,barrier21,"hvac, engineering, mechanical engineering, electrical engineering, project management, site supervision, quality control, technical drawing, problem-solving",on-site,full time,experienced,,17 days ago,new cairo, cairo, egypt
technical office engineer civil electrical -mechanical,tabarak,"electrical engineering, engineering, mechanical engineering, technical office, mechanical, autocad, projects, water treatment",on-site,full time,experienced,,17 days ago,mohandessin, giza, egypt
senior talent acquisition & od specialist,aljar development,"talent acquisition, organizational development, hr, hr policies, hr systems, hr admin, hr specialist, hrms, hrmis",on-site,full time,experienced,,17 days ago,sheraton, cairo, egypt
(performance media buyer (pure affiliate / high-commission,evallsuccess,"affiliate marketing, digital marketing, marketing, e-marketing, marketing campaigns, advertising, sales",remote,freelance / project,experienced,,17 days ago,cairo,cairo, egypt
hr & administration director,confidential,"administration, business administration, human resources (hr), talent acquisition, talent management, personnel management, training management, performance management system",on-site,full time,senior management,,17 days ago,sheraton, cairo, egypt
hvac manufacturing summer training program,badr and asfour,"hvac systems, manufacturing industry",on-site,internship,student,,17 days ago,menia, minya, egypt
erp technical support,tab erp solutions,"accounting, sql, technical support, customer, erp, customer service, analysis, computer science",remote,full time,experienced,,18 days ago,new cairo, cairo, egypt
english fluent scheduler & dispatcher,stem technology,"customer relations, customer service, dispatching, scheduling, logistics coordination, communication skills, problem-solving, time management, conflict resolution",remote,full time,experienced,,18 days ago,cairo,cairo, egypt
purchasing / procurement manager,gt world of beauty,"procurement, purchasing, sap, supply chain, erp, logistics, negotiation, operations",hybrid,full time,experienced,,18 days ago,maadi, cairo, egypt
fp&a analyst,guillam,"accounting, finance, excel, general ledger, financial analysis, financial management, accounting software, financial planning, budgeting",on-site,full time,experienced,,18 days ago,san stefano, alexandria, egypt
"technical installation, commissioning & repair engineer",k line europe,"commissioning, maintenance, repair, industrial automation / controls engineering, manufacturing industry, industrial engineering, manufacturing",on-site,full time,experienced,,18 days ago,nasr city, cairo, egypt
junior tax accountant,mma accounting office,"accounting, finance, financial management, financial analysis, tax accounting, cma, cpa, tax analysis, tax preparer",on-site,full time,entry level,,18 days ago,heliopolis, cairo, egypt
enterprise account executive,bright creations,"sales, selling, b2b, b2b sales, business development",hybrid,full time,experienced,,18 days ago,smart village, giza, egypt
account executive – dazu business (sme),bright creations,"sales, selling, b2b, b2b sales, business development",on-site,full time,experienced,,18 days ago,smart village, giza, egypt
account executive – realty,bright creations,"sales, selling, real estate, b2b, b2b sales, crm, communication",on-site,full time,experienced,,18 days ago,smart village, giza, egypt
growth manager,bright creations,"growth hacking, marketing, digital advertising, customer acquisition",on-site,full time,experienced,,18 days ago,smart village, giza, egypt
head of engineering (fintech),bright creations,"agile, back-end, engineering, computer science, front-end, management, project management, cloud",on-site,full time,senior management,,18 days ago,smart village, giza, egypt
customer success manager,bright creations,"onboarding and training, customer relationship management, communication, account management, problem solving, crm, customer care, customer service",on-site,full time,experienced,,18 days ago,smart village, giza, egypt
civil site engineer,bakir construction company,"autocad, civil engineering, site, primavera, schedule, construction, engineer, engineering, reliability engineer",on-site,full time,entry level,,18 days ago,cairo,cairo, egypt
fitout engineer,bakir construction company,"civil engineering, architectural engineering, interior finishing",on-site,full time,experienced,,18 days ago,cairo,cairo, egypt
real estate sales consultant b2b,partner & more,"sales, real estate, sales skills, sales target, communication, microsoft office, negotiation",on-site,full time,entry level,,18 days ago,heliopolis, cairo, egypt
sales admin (real estate developer),confidential,"sales, sales target, sales field, outdoor sales, indoor sales, property sales, real estate sales",on-site,full time,experienced,,18 days ago,new cairo, cairo, egypt
infrastructure project manager,infracon,"civil engineering, engineering, project management, construction, mep, infrastructure, water drainage, lift station, underground tanks",on-site,full time,manager,,18 days ago,6th of october, giza, egypt
senior planning engineer,infracon,"construction engineering, construction field, construction management, construction project management, planning, analysis, civil engineering, communication, construction",on-site,full time,experienced,,18 days ago,heliopolis, cairo, egypt
recruiter – infrastructure & construction,infracon,"human resources (hr), recruitment, sourcing, interviewing",on-site,full time,experienced,,18 days ago,heliopolis, cairo, egypt
medical sales representative - clear aligner,aligna,"sales target, medical sales, sales, customer service, medical, business development, relationship building, outdoor sales",on-site,full time,experienced,,19 days ago,sheikh zayed, giza, egypt
growth & operations manager,future egypt integrated digital solutions,"management, sales",on-site,full time,experienced,,19 days ago,zamalek, cairo, egypt
accounts payable specialist,yodawy,"accounting, finance, accounts payable, ap, financial analysis, erp, management, microsoft excel",on-site,full time,experienced,,19 days ago,abu rawash, giza, egypt
customer service specialist,etisalat egypt,"customer service, customer care, customer support",on-site,full time,entry level,,19 days ago,cairo,cairo, egypt
telesales agent,etisalat egypt,"customer care, customer support, customer service",on-site,full time,entry level,,19 days ago,cairo,cairo, egypt
product owner intern,3d diagnostix,"agile, computer science, information technology (it), product, software development, analysis, business analysis, computer engineering",remote,internship,student,,19 days ago,cairo,cairo, egypt
marketing specialists,growxcel,"e-marketing, social media, marketing, facebook marketing, online marketing, digital marketing, marketing research",on-site,full time,entry level,,19 days ago,dokki, giza, egypt
uiux intern,3d diagnostix,"design, information technology (it), ux, ui, computer engineering, computer science, engineering, prototyping, ui design",remote,internship,student,,19 days ago,cairo,cairo, egypt
cnc lathe machinist (petroleum services),confidential,"cnc machining, cnc lathe, precision measurement, weiler cnc, api standard, oil & gas, cnc, engineering, manufacturing",on-site,full time,experienced,,19 days ago,alexandria,alexandria, egypt
cost accountant,growxcel,"accounting, cost accounting, finance, financial analysis, budgeting, tracking budget expenses",on-site,full time,entry level,,19 days ago,cairo,cairo, egypt
office coordination head,confidential,"administration, coordination, office management, business administration, construction, customer service, engineering, management",on-site,full time,manager,,19 days ago,new cairo, cairo, egypt
business development assistant,[email protected],"business development, sales, development, sales target, client relationship management, market research, negotiation, communication",on-site,full time,entry level,,19 days ago,cairo,cairo, egypt
sales b2b,ecral,"communications skills, negotation skills",on-site,full time,experienced,,19 days ago,nasr city, cairo, egypt
maintenance engineer (oilfield workshop equipment),confidential,"mechanical engineering, cnc machines, hydraulic systems, siemens plc, mechanical maintenance, corrective maintenance, preventive maintenance schedule (pms), electrical maintenance",on-site,full time,experienced,,19 days ago,alexandria,alexandria, egypt
mechanical engineer (technical office),house of construction(hoc),"mechanical engineering, technical office, communication, electrical engineering, autocad, engineering, fire fighting, maintenance",on-site,full time,entry level,,19 days ago,sheraton, cairo, egypt
hse officer (petroleum services),confidential,"safety, hse, hse management, occupational safety and health administration (osha), risk assessment, hse audit, incident investigation, nebosh",on-site,full time,experienced,,19 days ago,matruh,matruh, egypt
hr executive,المقاولون المتحدون للخدمات المتكاملة - ucis,"hr, administration, recruitment, human resources (hr), personnel, interviewing, payroll, business administration, microsoft office",on-site,full time,experienced,,19 days ago,hadayek alkobba, cairo, egypt
finance manager.,chema foam,"cost control, cost management, financial analysis, financial management, budgeting, budget control, budget monitoring, budget management, cost analysis",on-site,full time,manager,,19 days ago,10th of ramadan city, cairo, egypt
"mechanical engineer, technical office",al salmanya,"autocad, mechanical engineering, engineering design, technical office operations, microsoft office suite, hvac systems, plumbing systems, fire fighting systems, project coordination",on-site,full time,experienced,,19 days ago,cairo,cairo, egypt
civil technical office engineer,al salmanya,"autocad, civil engineering, engineering, microsoft office, revit bim, construction management, project coordination, technical documentation, quantity surveying",on-site,full time,experienced,,19 days ago,cairo,cairo, egypt
human resources specialist,guillam,"english translation, human resources (hr), human resources, human resource management (hrm), human resource information system, human capital management, communication skills",on-site,full time,entry level,,19 days ago,alexandria,alexandria, egypt
planning manager,egmed,"planning, management",on-site,full time,manager,,19 days ago,cairo,cairo, egypt
ev service engineer,mcv - obour,"engineering, automotive maintenance, automotive, communication, computer science, customer service, information technology (it), mechanical, repair",on-site,full time,entry level,,19 days ago,obour city, cairo, egypt
technical support specialist,elsewedy electric,"technical support, customer support, administration, computer science, customer care, customer service, microsoft office, networking",on-site,full time,entry level,,19 days ago,6th of october, giza, egypt
lifestyle manager,confidential,"travel, customer support, tourism, crm",on-site,full time,entry level,,19 days ago,mohandessin, giza, egypt
cost manager,growxcel,"accounting, budgeting, cost management, erp, management, financial, finance, communication",on-site,full time,experienced,,19 days ago,dokki, giza, egypt
general manager (petroleum services),confidential,"genral management, strategic planning, operation management, key opinion leadership, business development, budgeting, financial management, contracts management",on-site,full time,senior management,,19 days ago,cairo,cairo, egypt
construction accountant,maalem-group,"accounting, finance, construction accounting, financial analysis, project costing, budget management, financial reporting, auditing, microsoft excel",on-site,full time,experienced,,19 days ago,new cairo, cairo, egypt
videographer & photographer,oppo egypt,"video editing, videography, adobe premiere, premiere, social media, short films, video production",on-site,full time,experienced,,19 days ago,nasr city, cairo, egypt
credit risk manager,confidential,"credit risk, risk management, financial analysis, finance, accounting, risk assessment, analysis",on-site,full time,manager,,19 days ago,maadi, cairo, egypt
quality control manager (petroleum services),confidential,"qc, api standard, iso 9001, dimensional inspection, ndt testing, ncr, root cause analysis, calibration",on-site,full time,manager,,19 days ago,cairo,cairo, egypt
mep site manager,new plan,"electrical engineering, mechanical engineering, mep, engineering, mechanical, management, pmp, primavera",on-site,full time,manager,,19 days ago,new capital, cairo, egypt
planning engineer,raqmu for building and construction,"primavera, microsoft office, engineering, planning, project management, civil engineering",on-site,full time,experienced,,19 days ago,cairo,cairo, egypt
electrical tender engineer,csi,"electrical engineering, engineering, project drawings, testing & commissioning, techno-commercial proposals, cost estimation, mep, boq, tendering",on-site,full time,entry level,,19 days ago,heliopolis, cairo, egypt
deputy swimming pool manager,wadi degla clubs,"communication, problem solving, team coaching, career coaching, swimming pools, training of trainers, lifeguard, time management, team leadership",on-site,full time,manager,,19 days ago,maadi, cairo, egypt
av presales engineer,tatas,"presales, sales, av, engineering, communication",remote,full time,experienced,,19 days ago,abdeen, cairo, egypt
senior contracts and claims engineer,abu gemeaa,"construction, engineering, contracting, civil engineering, fidic, management, mechanical engineering, mep, microsoft office",on-site,full time,experienced,,19 days ago,new cairo, cairo, egypt
senior marketing executive,confidential,"communication, executive, research, marketing, sales, senior, skills",on-site,full time,experienced,,19 days ago,heliopolis, cairo, egypt
qa/qc manager (petroleum services),confidential,"quality assurance, quality control, iso 9001, api standard, internal auditing, team leadership, oil & gas, root cause analysis",on-site,full time,manager,,19 days ago,cairo,cairo, egypt
head of accounting,bf sportswear,"accounting, finance, financial analysis, financial management, administration, odoo, odoo erp, erp implementation",on-site,full time,senior management,,19 days ago,obour city, cairo, egypt
"t24 functional developer (tph, securities, aa)",egabi fsi,"banking, computer science, engineering, temenos t24",on-site,full time,experienced,,19 days ago,sheraton, cairo, egypt
executive business support,brand connection,"administration, operations management",on-site,full time,experienced,,19 days ago,cairo,cairo, egypt
kg english teacher - alexandria,egyptian english language schools,"english education, english teaching, preschool, kindergarten, early childhood education, english language teaching",on-site,full time,entry level,,19 days ago,alexandria,alexandria, egypt
accounting manager,bakkah,"accounting, finance, financial analysis, financial management",on-site,full time,experienced,,19 days ago,giza, giza, egypt
export sales manager,confidential,"export, export sales, sales, sales target",on-site,full time,manager,,19 days ago,badr city, cairo, egypt
accountant,bakkah,"accounting, finance, financial analysis, financial management",on-site,full time,entry level,,19 days ago,hadayek alahram, giza, egypt
site engineer,green river for urban development,"civil engineering, autocad, communication, construction, engineering, quality control, safety",on-site,full time,entry level,,19 days ago,new capital, cairo, egypt
b2b sales team leader,bakkah,"b2b, b2b sales, sales, sales target",on-site,full time,experienced,,19 days ago,giza, giza, egypt
sales support engineer,mymsa,"customer support, sales support, sales, customer service, technical support, communication skills, problem-solving",on-site,full time,entry level,,19 days ago,cairo,cairo, egypt
construction director,new plan,"civil engineering, project management, construction, project, projects, planning, engineering, management",on-site,full time,senior management,,19 days ago,new capital, cairo, egypt
iot platform & product development engineer,mobi egypt,"iot, internet of things, iot platform, iot solutions, embedded systems, cloud computing, microsoft azure, aws",on-site,full time,experienced,,19 days ago,cairo,cairo, egypt
lead generation officer,fixed solutions,"business development, lead generation, sales",hybrid,full time,experienced,,19 days ago,cairo,cairo, egypt
operations manager (petroleum services),confidential,"manufacturing operations, operations management, team leadership, process improvement, enterprise resource planning, hse compliance, mechanical engineering, communication",on-site,full time,manager,,19 days ago,cairo,cairo, egypt
business developer,confidential,"information technology (it), business intelligence development",remote,part time,experienced,,19 days ago,alghanayem, assiut, egypt
collection specialist,igi-group,"collection, accounting, accounts receivable, administration, business administration, finance, microsoft office, real estate",on-site,full time,experienced,,19 days ago,sheikh zayed, giza, egypt
qa/qc supervisor (petroleum services),confidential,"quality assurance, quality management system, api standards, oil & gas, iso 9001, internal audit, team supervision, auditing",on-site,full time,experienced,,19 days ago,matruh,matruh, egypt
b 2 b sales specialist,iqibla,"e-commerce, communication, b2b sales, b2b, sales target, business development, crm, management",remote,full time,experienced,,19 days ago,cairo,cairo, egypt
site accountant,complete energy solutions,"accounting, construction, finance",on-site,full time,experienced,,19 days ago,heliopolis, cairo, egypt
brand marketing manager,confidential,"brand marketing, market research, sales, marketing, social media, agriculture, pesticides",on-site,full time,manager,,19 days ago,dokki, giza, egypt
logistics specialist,chloride,"sales, export, sales skills, logistics, english, analysis, coo",on-site,full time,entry level,,19 days ago,abu rawash, giza, egypt
construction manager,confidential,"civil engineering, construction, engineering, project management, risk management, budget management, site supervision, quality control",on-site,full time,manager,,19 days ago,alexandria,alexandria, egypt
administrative manager (male only),complete energy solutions,"administration, construction, management",on-site,full time,manager,,19 days ago,heliopolis, cairo, egypt
product designer,basharsoft,"product, product design, saas, figma, ux/ui",hybrid,full time,experienced,,19 days ago,cairo,cairo, egypt
social media manager,arts,"social media, marketing, creative, time management, communication, e-marketing, management",hybrid,part time,entry level,,19 days ago,abu alnumros, giza, egypt
sales engineer/senior sales engineer/area sales manager,egybrit,"negotiation, sales skills, sales, sales target, english, negotiation skills, business",on-site,full time,experienced,,19 days ago,heliopolis, cairo, egypt
security engineer,misr international systems,"data encryption, thales, cybersecurity, data security, computer science, engineering, information technology (it)",on-site,full time,experienced,,19 days ago,sheikh zayed, giza, egypt
hse officer,logistica,"hse, iso, safety management, iso 45001, iso 14001, hse specialist certificate, first aid certificate, firefighting certificate",on-site,full time,entry level,,19 days ago,6th of october, giza, egypt
mortqa platform coordinator,vertex educational solutions,"microsoft office, google workspace, crm systems, learning management systems (lms), project management tools (trello, clickup, asana, monday.com), excellent communication skills, leadership",on-site,full time,experienced,,19 days ago,cairo,cairo, egypt
sr. media buyer,alarabia group,"advertising, buyer, communication, digital marketing, digital, marketing, digital marketing, digital media",on-site,full time,experienced,,19 days ago,10th of ramadan city, cairo, egypt
seo specialist,ebss - elite business solution service,"seo, marketing, google analytics, e-marketing, research, analytics, search engine, social media",remote,full time,experienced,,19 days ago,cairo,cairo, egypt
office & operation director,vertex educational solutions,"administration, management, microsoft office, operations management, project coordination, team leadership, budget management, vendor relations",on-site,full time,experienced,,19 days ago,cairo,cairo, egypt
sales executive - pharma,al massat life sciences egypt,"pharma, sales target, sales, communication, customer service, microsoft office, negotiation, pharmacy",on-site,full time,entry level,,19 days ago,cairo,cairo, egypt
sales executive - food department,al massat life sciences egypt,"sales, sales target, b2b, b2b sales, communication, customer service, engineering, microsoft office, negotiation",on-site,full time,senior management,,19 days ago,cairo,cairo, egypt
ai-native software engineer (full-stack),vertex technologies,"golang, backend development, git, sql, web development, unit testing, cloud technologies, microservices, go",on-site,full time,experienced,,19 days ago,cairo,cairo, egypt
marketing executive,dancing bean,"marketing, market research, social media, public relations (pr), writing, design, client relationships",on-site,full time,experienced,,19 days ago,heliopolis, cairo, egypt
civil site engineer,az developments,"civil engineering, cad",on-site,full time,experienced,,19 days ago,sheikh zayed, giza, egypt
sales supervisor alex - delta,unioil,"b2b sales, food & beverage, key account management, team leadership, management, food production, business planning, sales planning",hybrid,full time,experienced,,19 days ago,alexandria,alexandria, egypt
mechanical procurement engineer,concrete plus,"mechanical engineering, procurement, supply chain management, vendor management, negotiation, technical specifications, cost analysis, project management",on-site,full time,experienced,,19 days ago,new cairo, cairo, egypt
hvac sales engineer,heliopolis engineering and trading heto,"engineering, hvac, sales, sales target, mechanical engineering, electromechanical engineering, vrf",remote,internship,entry level,,19 days ago,heliopolis, cairo, egypt
planning manager - site based,concrete plus,"planning, project management, stakeholder management, risk management, schedule management, budget management, resource allocation, critical path analysis",on-site,full time,manager,,19 days ago,new cairo, cairo, egypt
procurement engineer,concrete plus,"engineering, purchasing, supply chain management, vendor management, negotiation, cost analysis, contract management, logistics",on-site,full time,experienced,,19 days ago,new cairo, cairo, egypt
medical device sales engineer,confidential,"sales, medical, biomedical engineering, medical devices sales, technical presentations, ultrasound",hybrid,full time,entry level,,19 days ago,tanta, gharbia, egypt
senior mechanical tender engineer,concrete plus,"mechanical engineering, tendering, hvac systems, plumbing systems, fire fighting systems, cost estimation, bidding documentation, project management principles, autocad",on-site,full time,experienced,,19 days ago,new cairo, cairo, egypt
regulatory affairs senior specialist (medical device),el-ahlyia health care for medical supplies,"medical, regulatory, regulatory affairs, science, medical, renewals, social sciences",on-site,full time,experienced,,19 days ago,sheraton, cairo, egypt
sales supervisor,sadko plast,"sales, sales target, business administration, commerce, customer service, management, leadership, marketing, microsoft office",on-site,full time,experienced,,19 days ago,10th of ramadan city, sharqia, egypt
senior contracts and claims engineer,concrete plus,"construction, contracts management, drafting contracts, claims management, negotiation, risk assessment, project management, legal compliance, communication",on-site,full time,experienced,,19 days ago,new cairo, cairo, egypt
sales representative - alexandria,orthomedics,"customer service, sales target, sales, outdoor sales, sales field, sales plans, sales plan",on-site,full time,entry level,,19 days ago,alexandria,alexandria, egypt
sales key account manager - greater cairo ( non managerial level ),unioil,"b2b sales, fmcg, sales, b2b, business administration, customer service, english",on-site,full time,entry level,,19 days ago,cairo,cairo, egypt
sales account manager,misr international systems,"sales engineering, marketing, selling, it solutions, thales, cybersecurity, system integration",on-site,full time,experienced,,19 days ago,sheikh zayed, giza, egypt
operation specialist,ebss - elite business solution service,"customer care, customer service, communication skills, problem-solving, time management, attention to detail, team collaboration, data entry",on-site,full time,entry level,,19 days ago,tanta, gharbia, egypt
telesales representative,chemi pharm ltd,"pharmaceutical, telesales, sales, customer service, communication skills, active listening, negotiation, crm software, persuasion",on-site,full time,entry level,,19 days ago,mohandessin, giza, egypt
customer service & public relation specialist,shiny white dental center,"public relations (pr), customer satisfaction, customer service, customer support, customer care, customer retention, customer relations",on-site,full time,experienced,,19 days ago,sheikh zayed, giza, egypt
medical sales representative,chemi pharm ltd,"communication, customer service, management, medical, pharmaceutical, sales, sales target",on-site,full time,entry level,,19 days ago,cairo,cairo, egypt
wet utilities technical office engineer,confidential,"civil engineering, technical office engineering, wet utilities, infrastructure engineering",on-site,full time,experienced,,19 days ago,alexandria,alexandria, egypt
logistic coordinator,blue bell egypt,"logistics, supply chain management, inventory management, transportation management, customs regulations, data entry, microsoft office, communication skills, problem-solving",on-site,full time,entry level,,19 days ago,bourj alarab, alexandria, egypt
sales marketing,reservya,"marketing, sales target, sales, business development, digital marketing, market research, communication",remote,internship,student,,19 days ago,cairo,cairo, egypt
branch manager ( mansoura branch ),akhnaton trading and distribution - eva group limted,"accounting, oracle, operations, team leadership, branch management, problem solving",on-site,full time,manager,,19 days ago,mansoura, dakahlia, egypt
procurement specialist,gazala steel fabrication gsf,"steel fabrication, steel industry",on-site,full time,experienced,,19 days ago,new cairo, cairo, egypt
draftsman,ecosas international,"autocad, revit, engineering, design, architecture, construction, drafting, drawing, mep",on-site,full time,experienced,,19 days ago,giza,giza, egypt
r&d methodology &validation section head,al andalous pharmaceutical industries,"r&d, methodology, validation",on-site,full time,experienced,,19 days ago,6th of october, giza, egypt
finance manager,ragab group,"accounting, finance, financial analysis, financial management, financial accounting, odoo erp, account management, financial reporting",on-site,full time,manager,,19 days ago,ameria, alexandria, egypt
assistant to program director - school of engineering & applied sciences,nile university,"administration, office management, microsoft office, program administration, filing systems, official letters, student activities, student services, committee support",on-site,full time,experienced,,19 days ago,sheikh zayed, giza, egypt
accountant,forefront trading and export,"accounting, financing, general accounting, reporting",on-site,full time,experienced,,19 days ago,nasr city, cairo, egypt
export logistics specialist,kandil glass,"logistics, export, supply chain, purchasing, administration, business administration, customs clearance",on-site,full time,experienced,,19 days ago,10th of ramadan city, sharqia, egypt
