title,company,location,skills,Type,Duration,experience_level,salary,date_posted
Talent Acquisition Specialist,AM Group -,"Giza, Egypt ","['interviewing', 'recruitment', 'talent acquisition', 'administration', 'business administration', 'communication', 'hiring', 'human resources', 'human resources (hr)']",On-site,Full Time,Experienced,Confidential,25 days ago
Mid Level Graphic Designer,Catalyst For Leather Products and Advertising  -,"Cairo, Egypt ","['creative', 'work of art', 'design', 'computer science', 'information technology (it)', '.net']",On-site,Full Time,Entry Level,Confidential,25 days ago
Shipping Specialist,MCV - Obour -,"Obour City, Cairo, Egypt ","['logistics', 'shipping', 'supply chain', 'business administration', 'export', 'microsoft office', 'purchasing', 'erp']",On-site,Full Time,Entry Level,Confidential,25 days ago
Account Manager,Confidential -,"Sheraton, Cairo, Egypt ","['customer service', 'customer support', 'customer relations', 'business administration', 'crm', 'account management', 'marketing', 'microsoft office', 'sales']",On-site,Full Time,Experienced,Confidential,25 days ago
Chief Financial Officer,Confidential -,"Cairo, Egypt ","['accounting', 'finance', 'financial analysis', 'financial management', 'financial', 'cma', 'mba']",On-site,Full Time,Senior Management,Confidential,25 days ago
Office Manager,Cred Developments -,"New Cairo, Cairo, Egypt ","['administration', 'office management', 'hr', 'maintenance', 'management', 'microsoft office', 'procurement']",On-site,Full Time,Manager,Confidential,25 days ago
Central Control Unit Operator,Wadi Group -,"Sheikh Zayed, Giza, Egypt ","['computer science', 'information technology (it)', 'software engineering', 'unit testing', 'system monitoring', 'problem solving', 'troubleshooting', 'command line interface (cli)', 'networking fundamentals']",On-site,Full Time,Experienced,Confidential,25 days ago
Operations Manager,Confidential -,"khanka, Qalubia, Egypt ","['management', 'production', 'product management', 'production engineering', 'production process', 'operations management', 'manager']",On-site,Full Time,Manager,Confidential,25 days ago
Operation Manager,Magico group  -,"Obour City, Cairo, Egypt ","['product management', 'factory management', 'management', 'medical services', 'engineering', 'manufacturing', 'production']",On-site,Full Time,Manager,Confidential,25 days ago
"Senior Civil Draughtsman ""DraftsMan""",Abu Gemeaa -,"New Cairo, Cairo, Egypt ","['autocad 3d', 'civil engineering', 'autocad 2d', 'drafting', 'cross section', 'infrastructure engineering', 'detailing', 'clash detection', 'shop drawings']",On-site,Full Time,Experienced,Confidential,25 days ago
Senior Technical Office Engineer – Architecture,Better Home -,"New Capital, Cairo, Egypt ","['architecture', 'autocad', 'technical office', 'engineering', 'microsoft office']",On-site,Full Time,Experienced,Confidential,25 days ago
Junior Tender Engineer,Delta Egypt For Lighting  -,"Obour City, Cairo, Egypt ","['tender preparation', 'tendering', 'electrical engineering', 'technical analysis', 'engineering', 'engineering services']",On-site,Full Time,Entry Level,Confidential,25 days ago
Personnel and Payroll Specialist,Arcelormittal Egypt -,"Badr City, Cairo, Egypt ","['human resources (hr)', 'personnel management', 'microsoft office suite', 'recruitment', 'onboarding', 'employee relations', 'payroll administration', 'hr policies']",On-site,Full Time,Experienced,Confidential,25 days ago
Unit Distribution Manager (Giza),Arma-HSA -,"Giza, Egypt ","['identifying and evaluating opportunities', 'problem-solving', 'commitment', 'sales', 'sales field', 'sales target', 'sales planning', 'sales management']",On-site,Full Time,Manager,Confidential,25 days ago
Product Designer (AutoCAD & SolidWorks),Alpha -,"New Cairo, Cairo, Egypt ","['autocad', 'solidworks', 'design', 'product design']",On-site,Full Time,Entry Level,Confidential,25 days ago
Personnel Specialist,Zeta Pharma -,"Cairo, Egypt ","['personnel affairs', 'personnel management', 'personnel administration', 'human resources (hr)', 'personnel', 'microsoft office']",On-site,Full Time,Entry Level,Confidential,25 days ago
Sr. Cloud & VMware Engineer,Roaya -,"Maadi, Cairo, Egypt ","['cloud', 'computer science', 'information technology (it)', 'engineering', 'vmware']",On-site,Full Time,Experienced,Confidential,25 days ago
Administrative Security Officer (Retired Armed Forces or Police Officer),Tahya Masr Holding -,"Cairo, Egypt ","['administration', 'police', 'security']",On-site,Full Time,Experienced,Confidential,25 days ago
Accounting Manager,Turath Real Estate  -,"Obour City, Cairo, Egypt ","['accounting', 'finance', 'financial analysis', 'financial management', 'gaap', 'ifrs', 'budgeting', 'forecasting']",On-site,Full Time,Manager,Confidential,25 days ago
Junior Civil QS Engineer,New Plan  -,"New Capital, Cairo, Egypt ","['civil engineering', 'quantity surveying', 'autocad', 'construction', 'engineering', 'architecture', 'surveying']",On-site,Full Time,Entry Level,Confidential,25 days ago
Sales,IBS -,"Nasr City, Cairo, Egypt ","['sales', 'sales target', 'customer relationship management (crm)', 'negotiation', 'communication', 'lead generation', 'presentation skills', 'client acquisition', 'account management']",On-site,Full Time,Experienced,Confidential,25 days ago
Receptionist,El Mansour Development  -,"Mokattam, Cairo, Egypt ","['administration', 'office management', 'microsoft office', 'customer service', 'customer support', 'customer care']",On-site,Full Time,Entry Level,Confidential,25 days ago
Tinting Machine Maintenance Supervisor,Jazeera Paints -,"Dakahlia, Egypt ","['color matching', 'maintenance', 'manufacturing', 'troubleshooting', 'mechanical engineering', 'electrical systems', 'preventive maintenance']",On-site,Full Time,Entry Level,Confidential,25 days ago
Technical Office & Pre sales Engineer,LSE   -,"Nasr City, Cairo, Egypt ","['engineering', 'microsoft office', 'sales', 'technical office']",On-site,Full Time,Experienced,Confidential,25 days ago
Production Engineer,New Marina Plast    -,"Bourj Alarab, Alexandria, Egypt ","['engineering', 'manufacturing', 'mechanical engineering', 'production', 'process optimization', 'quality control', 'problem solving', 'lean manufacturing']",On-site,Full Time,Experienced,Confidential,25 days ago
Planning Engineer,Confidential -,"Cairo, Egypt ","['civil engineering', 'engineering', 'planning', 'project management', 'communication', 'primavera', 'primavera p6', 'project']",On-site,Full Time,Experienced,Confidential,25 days ago
Mechanical Engineer,New Marina Plast    -,"Bourj Alarab, Alexandria, Egypt ","['mechanical engineering', 'engineering', 'maintenance', 'troubleshooting', 'preventive maintenance', 'technical drawing', 'manufacturing processes', 'problem solving', 'project management']",On-site,Full Time,Experienced,Confidential,25 days ago
Industrial Fabrication Communication and Outreach Lab Engineer,British University of Egypt -,"Cairo, Egypt ","['rapid prototyping & manufacturing', 'equipment lifecycle management', 'applied engineering', 'autocad', 'canva', 'adobe premiere', 'marketing & communications']",On-site,Full Time,Entry Level,Confidential,25 days ago
Audit Accountant,El Mansour Development  -,"Mokattam, Cairo, Egypt ","['accounting', 'auditing', 'finance', 'financial analysis', 'construction', 'financial', 'financial reporting', 'internal controls', 'real estate']",On-site,Full Time,Experienced,Confidential,25 days ago
CRM & Marketing Automation Specialist (GoHighLevel),Confidential -,"Cairo, Egypt ","['automation', 'crm', 'e-marketing', 'marketing', 'marketing automation', 'social media', 'gohighlevel (ghl) crm implementation & configuration']",Remote,Freelance / Project,Experienced,Confidential,25 days ago
HR Administrator,Confidential -,"Cairo, Egypt ","['human resources', 'administration', 'recruitment', 'employee relations', 'onboarding', 'hris management', 'hr compliance', 'payroll administration']",On-site,Full Time,Experienced,Confidential,25 days ago
Stock Controller,El Mansour Development  -,"Mokattam, Cairo, Egypt ","['accounting', 'stock', 'logistics', 'stock control', 'supply chain', 'business administration', 'administration', 'inventory control']",On-site,Full Time,Experienced,Confidential,25 days ago
Accountant,Egyptian Engineering Company -,"6th of October, Giza, Egypt ","['time management', 'accounting', 'erp system', 'microsoft excel', 'financial accounting', 'ms office']",On-site,Full Time,Experienced,Confidential,25 days ago
Data Protection Officer(DPO),MEAHCO - Saudi German Health -,"Katameya, Cairo, Egypt ","['cybersecurity', 'data protection']",On-site,Full Time,Experienced,Confidential,25 days ago
Tele Sales Representative (Male Only),Confidential -,"Maadi, Cairo, Egypt ","['sales', 'customer service', 'sales target', 'call center']",On-site,Full Time,Entry Level,Confidential,25 days ago
Technical Office Electrical Engineer,SHERIF EL-GOHARY & CO. -,"Mohandessin, Giza, Egypt ","['electrical engineering', 'construction', 'microsoft office', 'technical office', 'shop drawings', 'engineering', 'autocad']",On-site,Full Time,Experienced,Confidential,25 days ago
Full Stack Web Developer,GCSSD -,"Heliopolis, Cairo, Egypt ","['computer science', 'software engineering', 'information systems', '.net', 'software development', 'web development', 'wcf', 'c#', 'microsoft sql server']",On-site,Full Time,Entry Level,Confidential,25 days ago
Video Editor,Foto Tech -,"Mounib, Giza, Egypt ","['adobe photoshop', 'adobe premiere', 'video editing', 'aftereffect', 'premiere', 'creative', 'storytelling']",On-site,Full Time,Experienced,Confidential,25 days ago
Network Specialist,GLC Paints -,"Obour City, Cairo, Egypt ","['computer science', 'information technology (it)', 'network', 'networking']",On-site,Full Time,Experienced,Confidential,25 days ago
Senior Site Engineer (Architect),NO5 Construction -,"Sheikh Zayed, Giza, Egypt ","['construction', 'interior finishing', 'quality control', 'project management', 'site supervision', 'architecture']",On-site,Full Time,Experienced,Confidential,25 days ago
Internal Auditor,MY WAY -,"Obour City, Cairo, Egypt ","['analytical and detail-oriented', '• strong communication skills', '• high integrity and confidentiality', '• ability to work independently', 'strong follow-up and problem-solving skills']",On-site,Full Time,Experienced,Confidential,25 days ago
Operations Manager,Confidential -,"Sharqia, Egypt ","['management', 'microsoft office']",On-site,Full Time,Manager,Confidential,25 days ago
Accountant,Al Ahly Medical Company -,"Giza, Giza, Egypt ","['accounting', 'finance', 'financial reporting', 'bookkeeping', 'data entry', 'microsoft excel', 'attention to detail', 'problem-solving', 'communication']",On-site,Full Time,Entry Level,Confidential,25 days ago
Accounts Payable Supervisor,Flex Asepto -,"6th of October, Giza, Egypt ","['accounts payable', 'accounting', 'finance', 'payments', 'export', 'import / export', 'bank reconciliation', 'banking', 'financial reporting']",On-site,Full Time,Manager,Confidential,25 days ago
Electrical Design Engineer (MEP),Confidential -,"Heliopolis, Cairo, Egypt ","['autocad', 'design', 'electrical engineering', 'mep design', 'electrical design']",On-site,Full Time,Entry Level,Confidential,25 days ago
Mechanical Design Engineer (HVAC),Confidential -,"Heliopolis, Cairo, Egypt ","['autocad', 'mechanical engineering', 'design', 'hvac', 'mep', 'mep design']",On-site,Full Time,Entry Level,Confidential,25 days ago
Senior Graphic Designer,Top Chef  -,"Obour City, Cairo, Egypt ","['adobe illustrator', 'adobe photoshop', 'graphic design', '3d photo manipulation', 'e-commerce banner design', 'social media campaign design', 'brand identity development', 'printing production management', 'packaging design']",On-site,Full Time,Senior Management,Confidential,25 days ago
Warehouse Manager,Royal Herbs  -,"Alsadat City, Monufya, Egypt ","['logistics', 'warehousing', 'supply chain', 'administration', 'business administration', 'management', 'erp']",On-site,Full Time,Manager,Confidential,25 days ago
Jira Administrator,TECHNOSAT -,"Cairo, Egypt ","['jira', 'information technology (it)', 'jira service management (jsm)', 'confluence', 'jira data center', 'scriptrunner', 'jmwe', 'eazybi', 'acp-120']",Hybrid,Full Time,Experienced,Confidential,25 days ago
Project Manager,Confidential -,"Sheraton, Cairo, Egypt ","['project management', 'projects', 'information technology (it)']",On-site,Full Time,Experienced,Confidential,25 days ago
Business Intelligence Analyst,Arma-HSA -,"New Cairo, Cairo, Egypt ","['analysis', 'business analysis', 'business intelligence', 'administration', 'bi', 'business administration', 'computer science', 'information technology (it)', 'power bi']",On-site,Full Time,Entry Level,Confidential,25 days ago
Procurement Specialist – Packaging Materials,Confidential -,"Bourj Alarab, Alexandria, Egypt ","['packaging', 'procurement', 'purchasing', 'supply chain']",On-site,Full Time,Experienced,Confidential,25 days ago
Facilities Supervisor,EUREKA Solar Energy -,"10th of Ramadan City, Sharqia, Egypt ","['administration', 'engineering', 'management', 'facility maintenance', 'operations management', 'project management', 'vendor management']",On-site,Full Time,Experienced,Confidential,25 days ago
Site Engineer,Confidential -,"New Cairo, Cairo, Egypt ","['construction', 'engineering', 'autocad']",On-site,Full Time,Experienced,Confidential,25 days ago
Electrical Engineer,Cleopatra Developments -,"Sheikh Zayed, Giza, Egypt ","['electrical engineering', 'engineering', 'construction management', 'project management', 'autocad electrical', 'etap', 'power systems', 'low voltage systems']",On-site,Full Time,Experienced,Confidential,25 days ago
Content Creator Specialist (Real Estate),Valero Development -,"Obour City, Cairo, Egypt ","['content creation', 'creative ideas', 'social media', 'real estate', 'marketing']",On-site,Full Time,Experienced,Confidential,25 days ago
Oracle Functional SCM Executive (EBS),EVA Cosmetics   -,"6th of October, Giza, Egypt ","['oracle ebs r12', 'oracle supply chain management (scm)', 'purchasing', 'inventory management', 'ebs', 'oracle consultant', 'supply chain']",On-site,Full Time,Experienced,Confidential,25 days ago
Presales Technical Consultant,CyberSrv -,"Giza, Egypt ","['computer science', 'presales', 'engineering', 'information technology (it)', 'pre-sales', 'consulting', 'sales', 'communication']",Remote,Part Time,Entry Level,Confidential,25 days ago
Senior Architecture Technical office Engineer,Beta Developments -,"Heliopolis, Cairo, Egypt ","['3ds max', 'autocad', 'revit', 'architecture', 'engineering', 'microsoft office', 'real estate']",On-site,Full Time,Experienced,Confidential,25 days ago
Maintenance Supervisors,Cleopatra Developments -,"Sheikh Zayed, Giza, Egypt ","['electrical engineering', 'maintenance', 'mechanical engineering', 'troubleshooting', 'preventive maintenance', 'team leadership', 'safety regulations']",On-site,Full Time,Experienced,Confidential,25 days ago
Site Civil Engineer (Hotel and Resort Project),TRAVCO GROUP -,"Hurghada, Red Sea, Egypt ","['civil engineering', 'construction', 'engineering', 'projects', 'architecture', 'autocad', 'communication', 'management', 'microsoft office']",On-site,Full Time,Experienced,Confidential,25 days ago
Mechanical Industrial Engineer,Groupe- Atlantic -,"10th of Ramadan City, Cairo, Egypt ","['mechanical', 'mechanical engineering', 'project management', 'engineering']",On-site,Full Time,Experienced,Confidential,25 days ago
Digital Marketing Specialist,EgyptComp For Integrated Systems  -,"Cairo, Egypt ","['digital marketing', 'social media', 'b2b marketing', 'social media stratgey', 'brand marketing', 'brand awareness', 'marketing campaigns', 'seo', 'google ads']",Remote,Full Time,Experienced,Confidential,26 days ago
Warehouse Accountant,Aton Crops for Agriculture and Export -,"Menia, Minya, Egypt ","['accounting', 'financial analysis', 'financial management', 'warehouse management', 'inventory control', 'cost accounting', 'auditing', 'logistics']",On-site,Full Time,Experienced,Confidential,26 days ago
Account Manager,Confidential -,"Downtown, Cairo, Egypt ","['customer service', 'team leadership', 'account management', 'business administration', 'business development', 'management', 'marketing', 'microsoft office']",On-site,Full Time,Experienced,Confidential,26 days ago
"Director of Security, Background Of The Militarization of a Retired Army Brigade.",Aton Crops for Agriculture and Export -,"Menia, Minya, Egypt ","['security management', 'risk assessment', 'crisis management', 'strategic planning', 'team leadership', 'security operations', 'physical security', 'intelligence analysis']",On-site,Full Time,Manager,Confidential,26 days ago
International Marketing Intern,Vision 22 Advertising Agency -,"Maadi, Cairo, Egypt ","['advertising', 'marketing', 'e-marketing', 'market research', 'communication skills', 'digital marketing', 'international business development']",On-site,Internship,Entry Level,Confidential,26 days ago
Brand Marketing Manager,Raxeira Beauty for Cosmetics  -,"Obour City, Cairo, Egypt ","['brand management', 'digital marketing', 'cosmetics marketing', 'skincare', 'influencer marketing', 'content marketing', 'brand activation']",On-site,Full Time,Manager,Confidential,26 days ago
Export Sales Specialist.,Aton Crops for Agriculture and Export -,"Maadi, Cairo, Egypt ","['export', 'export sales', 'sales', 'sales target', 'customer service', 'international trade', 'logistics']",On-site,Full Time,Experienced,Confidential,26 days ago
Contractors Accountant,El Mansour Development  -,"Mokattam, Cairo, Egypt ","['accounting', 'finance', 'construction', 'financial analysis', 'financial accounting', 'accounting reports']",On-site,Full Time,Experienced,Confidential,26 days ago
Events & Public Relations Assistant,iVein Clinic -,"Alexandria, Egypt ","['marketing', 'public relations', 'public relations (pr)', 'social media', 'business administration', 'mass communication', 'microsoft office', 'administration']",On-site,Full Time,Entry Level,Confidential,26 days ago
Office Admin - Medical Clinics,Maksoud Medical Ltd -,"Alexandria, Egypt ","['administration', 'english', 'translation', 'communication', 'arabic', 'ms office', 'office management', 'organizational skills', 'time management']",On-site,Full Time,Entry Level,Confidential,26 days ago
Graphic Designer,Tie House -,"New Cairo, Cairo, Egypt ","['adobe illustrator', 'adobe photoshop', 'photoshop', 'design', 'graphic design', 'graphic']",On-site,Full Time,Experienced,Confidential,26 days ago
Quality Manager,Le souverain  -,"10th of Ramadan City, Sharqia, Egypt ","['quality control', 'quality management', 'quality management system', 'quality auditing']",On-site,Full Time,Manager,Confidential,27 days ago
Brand Manager,SAVOLA -,"New Cairo, Cairo, Egypt ","['branding', 'marketing', 'advertising', 'market research', 'management', 'mba', 'fmcg', 'excel']",On-site,Full Time,Manager,Confidential,27 days ago
Talent Acquisition & Employer Branding Manager,Confidential -,"Maadi, Cairo, Egypt ","['human resources (hr)', 'recruitment', 'talent acquisition', 'human resources', 'interviewing', 'hiring', 'hr']",On-site,Full Time,Manager,Confidential,27 days ago
Senior Project Manager,Confidential -,"Mohandessin, Giza, Egypt ","['project management', 'engineering', 'fitting-out', 'construction management', 'civil engineering', 'architectural design', 'site supervision', 'budget management']",On-site,Full Time,Senior Management,Confidential,27 days ago
Middle Business Data Analyst - BI Engineer,Vertex Technologies   -,"Cairo, Egypt ","['business data analysis', 'business intelligence (bi)', 'english b2', 'power bi', 'databases', 'dwh', 'sql', 'etl processes', 'data mining']",On-site,Full Time,Experienced,Confidential,27 days ago
Call Center Trainee,iVein Clinic -,"Mahta Alraml, Alexandria, Egypt ","['call center', 'customer care', 'customer service', 'customer support', 'computer skills']",On-site,Internship,Entry Level,Confidential,27 days ago
Sales Representative,Saeed Saadan Shehata & Partners Co. -,"Downtown, Cairo, Egypt ","['erp', 'sales', 'spare parts']",On-site,Full Time,Experienced,Confidential,27 days ago
ERP Implementer,Erpplus5 -,"Maadi, Cairo, Egypt ","['erp', 'implementation', 'finance', 'accounting', 'financial accounting', 'accounting systems', 'business processes']",On-site,Full Time,Experienced,Confidential,27 days ago
Administrative Assistant / Secretary,Arms surveying & automation systems -,"Hadayek Alahram, Giza, Egypt ","['microsoft office', 'office management', 'computer skills', 'communication', 'training']",On-site,Full Time,Entry Level,Confidential,27 days ago
Electronics / Mechatronics Engineer – Technical & Operations Coordinator,Arms surveying & automation systems -,"Hadayek Alahram, Giza, Egypt ","['electronics', 'engineering', 'mechatronics', 'operations management']",On-site,Full Time,Entry Level,Confidential,27 days ago
VIP Customer Service Specialist-Arabic/Chinese,Confidential -,"Cairo, Egypt ","['customer service', 'customer support', 'communication']",Remote,Full Time,Student,Confidential,27 days ago
Production Manager,Startrans -,"6th of October, Giza, Egypt ","['engineering', 'management', 'manufacturing', 'production', 'six sigma lean', 'process optimization', 'quality control']",On-site,Full Time,Manager,Confidential,28 days ago
Technical Sales Engineer - electrical,Startrans -,"Tanta, Gharbia, Egypt ","['electrical engineering', 'engineering', 'sales', 'technical sales', 'customer relationship management (crm)', 'business development', 'tendering']",On-site,Full Time,Experienced,Confidential,28 days ago
Account Manager,Akamaar Dev -,"Cairo, Egypt ","['crm', 'property', 'real estate', 'data entry', 'conflict resolution', 'spreadsheets', 'property management', 'attention to detail']",Remote,Full Time,Experienced,Confidential,28 days ago
Senior Technical Architect Engineer,Life Theme -,"New Cairo, Cairo, Egypt ","['architecture', 'autocad', 'engineering']",On-site,Full Time,Experienced,Confidential,28 days ago
Customer Success Specialist,WUZZUF -,"Maadi, Cairo, Egypt ","['customer care', 'customer service', 'customer success', 'customer support']",On-site,Full Time,Entry Level,Confidential,28 days ago
Senior General Accountant,3Dimension -,"Giza, Egypt ","['general accounting', 'financial reporting', 'cost accounting', 'accounts payable (ap)', 'accounts receivable (ar)', 'bank reconciliation', 'general ledger (gl)']",On-site,Full Time,Experienced,Confidential,28 days ago
Senior Purchasing Specialist,Confidential -,"Mohandessin, Giza, Egypt ","['construction field', 'logistics', 'purchasing', 'supply chain management', 'procurement', 'microsoft excel', 'vendor management']",On-site,Full Time,Experienced,Confidential,28 days ago
Sales Executive (EdTech),NazirEdu -,"Cairo, Egypt ","['sales', 'sales target', 'customer service', 'business development', 'communication', 'marketing', 'microsoft office', 'negotiation']",Hybrid,Full Time,Experienced,Confidential,28 days ago
Event Planner,Royal House Language School -,"Giza, Egypt ","['event planning', 'marketing', 'public relations (pr)', 'event management', 'event coordination', 'education', 'school', 'media']",On-site,Full Time,Experienced,Confidential,28 days ago
Senior Electrical Site Engineer,Integrated-ltd -,"New Cairo, Cairo, Egypt ","['electrical engineering', 'electrical', 'engineering', 'project', 'electrical systems', 'nec', 'nfpa codes', 'safety regulations', 'autocad']",On-site,Full Time,Experienced,Confidential,28 days ago
Devops Engineer,Confidential -,"Mohandessin, Giza, Egypt ","['devops', 'cloud infrastructure', 'configuration management', 'aws', 'azure', 'computer science', 'docker']",On-site,Full Time,Experienced,Confidential,28 days ago
Telesales Executive,engineering tracks -,"Nasr City, Cairo, Egypt ","['communication', 'negotiation', 'sales', 'telesales', 'customer service', 'crm software', 'active listening', 'problem solving']",On-site,Full Time,Entry Level,Confidential,28 days ago
Store Manager,MINISO LIFE -,"Cairo, Egypt ","['retail', 'sales', 'store management']",On-site,Full Time,Experienced,Confidential,28 days ago
Key Account Manager (pharma),DAF Holding  -,"Cairo, Egypt ","['pharma', 'sales', 'sales target', 'account management']",On-site,Full Time,Manager,Confidential,28 days ago
Senior Lifestyle Manager,BDO Esnad -,"Mohandessin, Giza, Egypt ","['customer support', 'customer care', 'customer relations', 'travel', 'finance', 'reservation']",On-site,Full Time,Senior Management,Confidential,28 days ago
IT Risk Assistant Manager,Taly -,"Cairo, Egypt ","['risk management', 'information analysis', 'information security', 'cism', 'communication', 'compliance', 'computer science', 'information technology (it)', 'management']",On-site,Full Time,Experienced,Confidential,28 days ago
Fleet Sales Executive,ElSaba Group Co. -,"Cairo, Egypt ","['sales', 'sales target']",On-site,Full Time,Experienced,Confidential,28 days ago
Facility Management Engineer,GOLD ERA   -,"New Cairo, Cairo, Egypt ","['engineering', 'facility management', 'project management', 'information technology (it)', 'mechanical engineering', 'electrical engineering', 'civil engineering']",On-site,Full Time,Experienced,Confidential,28 days ago
Head of Marketing,WUZZUF -,"Cairo, Egypt ","['business startegy', 'business planning', 'business operations', 'decision analysis']",On-site,Full Time,Manager,Confidential,28 days ago
Head of Strategy & Execution,WUZZUF -,"Cairo, Egypt ","['business startegy', 'business planning', 'business operations', 'decision analysis']",On-site,Full Time,Experienced,Confidential,28 days ago
Social Media Manager,نوبل للتدريب - Nobel Group -,"6th of October, Giza, Egypt ","['advertising', 'social media', 'e-marketing', 'marketing', 'digital marketing', 'management', 'content creation', 'communication']",On-site,Full Time,Experienced,Confidential,28 days ago
Odoo Functional Consultant / Implementer,Rockal -,"Nasr City, Cairo, Egypt ","['erp implementation', 'finance', 'accounting', 'erp', 'odoo', 'financial management', 'business analysis', 'system implementation']",Hybrid,Full Time,Experienced,Confidential,28 days ago
Senior Electrical – Power & Light Current Design Engineer,ACE Consulting Engineers  (Moharram - Bakhoum  -,"Dokki, Giza, Egypt ","['electrical engineering', 'engineering', 'light current', 'design', 'autocad', 'revit']",On-site,Full Time,Experienced,Confidential,28 days ago
Procurement Manager,El Mohandess Print House -,"10th of Ramadan City, Sharqia, Egypt ","['business administration', 'engineering', 'logistics', 'procurement', 'purchasing', 'supply chain']",On-site,Full Time,Manager,Confidential,28 days ago
Junior Electrical – Power & Light Current Design Engineer - Head Office,ACE Consulting Engineers  (Moharram - Bakhoum  -,"Dokki, Giza, Egypt ","['autocad', 'design', 'electrical engineering', 'light current', 'engineering']",On-site,Full Time,Entry Level,Confidential,28 days ago
Senior HR Generalist,Next Maritime SLU -,"Alexandria, Egypt ","['human resources (hr)', 'microsoft office', 'personnel', 'recruitment', 'hr', 'employee relations', 'communication']",On-site,Full Time,Experienced,Confidential,28 days ago
Construction Manager,Alunaut -,"Nasr City, Cairo, Egypt ","['engineering', 'project management', 'construction management', 'civil engineering', 'architecture', 'risk management', 'budget management', 'schedule management']",On-site,Full Time,Experienced,Confidential,28 days ago
Field Service & Installation Team Leader Engineer,Comtec -,"Heliopolis, Cairo, Egypt ","['electrical engineering', 'mechanical engineering', 'engineering', 'installations']",On-site,Full Time,Manager,Confidential,28 days ago
Data Entry Clerk,Upsell -,"Cairo, Egypt ","['data entry', 'customer service', 'microsoft office', 'administration', 'computer science', 'content management', 'customer support', 'management']",Remote,Full Time,Entry Level,Confidential,28 days ago
Real-Time Analyst (RTA),Etisalat Egypt -,"Maadi, Cairo, Egypt ","['call center', 'customer care', 'customer service', 'genesys', 'information technology (it)', 'management', 'microsoft excel', 'statistics']",On-site,Full Time,Entry Level,Confidential,28 days ago
Personal assistants,Blue Sky Real Estate -,"Nasr City, Cairo, Egypt ","['administration', 'microsoft office', 'office management']",On-site,Full Time,Experienced,Confidential,28 days ago
Sales Marketing Executive,Blue Sky Real Estate -,"Nasr City, Cairo, Egypt ","['marketing', 'sales', 'sales target']",Remote,Full Time,Experienced,Confidential,28 days ago
Techcnial Sales Engineer,Alunaut -,"Nasr City, Cairo, Egypt ","['engineering', 'sales']",On-site,Full Time,Experienced,Confidential,28 days ago
Mechanical Maintenance Engineer,Joy Glass -,"6th of October, Giza, Egypt ","['communication', 'management', 'mechanical', 'manufacturing', 'mechatronics', 'glass manufacturing', 'glass industry']",On-site,Full Time,Entry Level,Confidential,28 days ago
Financial Manager - Real Estate & Property Management,Genena Group -,"New Cairo, Cairo, Egypt ","['accounting', 'financial management', 'financial analysis', 'financial reporting', 'real estate finance', 'property management accounting', 'budgeting', 'forecasting', 'strategic planning']",On-site,Full Time,Senior Management,Confidential,28 days ago
Senior Customer Service Representative - English,TTEC -,"Cairo, Egypt ","['customer care', 'customer service', 'customer support', 'communication', 'management', 'negotiation', 'retail', 'sales']",On-site,Full Time,Experienced,Confidential,28 days ago
Consulting Engineers,inscenco -,"Kafr Alsheikh, Egypt ","['engineering', 'consulting', 'mechanical engineering', 'interior design', 'exterior design', 'bim modeling', 'rivet', 'autodesk 3ds max']",Remote,Full Time,Manager,Confidential,28 days ago
Marketing & Social Media Director,Royal House Language School -,"Giza, Egypt ","['marketing- digital marketing', 'social media strategy', 'leadership', 'management', 'digital advertising', 'education fields', 'media']",On-site,Full Time,Senior Management,Confidential,28 days ago
Photographer & Videographer,Royal House Language School -,"Giza, Egypt ","['adobe photoshop', 'photography', 'design', 'videography', 'video editing', 'social media', 'lightroom', 'creative', 'adobe premiere']",On-site,Full Time,Experienced,Confidential,28 days ago
Warranty Engineer,ElSaba Group Co. -,"Maadi, Cairo, Egypt ","['creating warranty repair orders.', 'receiving replaced parts after reviewing the warranty repair order.']",On-site,Full Time,Experienced,Confidential,28 days ago
Operations Coordinator,Al Betar for Computer Supplies  -,"Sidi Gaber, Alexandria, Egypt ","['operations management', 'order management', 'order fulfillment', 'store operations', 'team leadership', 'logistics', 'coordination', 'supply chain', 'customer support']",On-site,Full Time,Experienced,Confidential,28 days ago
Operations Manager – Clinics Sector Reports To,LMS -,"Maadi, Cairo, Egypt ","['operations management', 'management', 'administration', 'reporting']",On-site,Full Time,Manager,Confidential,28 days ago
Corporate Sales Manager – Insurance & Clinics Sector,LMS -,"Maadi, Cairo, Egypt ","['insurance', 'medical', 'communications', 'sales', 'sales skills', 'sales target']",On-site,Full Time,Manager,Confidential,28 days ago
