title,company,location,skills,Type,Duration,experience_level,salary,date_posted
Agricultural Engineer for pest control,Sotaico -,"Cairo, Egypt ","['pest control', 'agriculture', 'quality assurance', 'quality control']",On-site,Full Time,Experienced,Confidential,2 hours ago
Robotics Instructor,B.R TECH  -,"Heliopolis, Cairo, Egypt ","['computer science', 'education', 'engineering', 'english', 'instructor', 'robotics', 'science']",On-site,Full Time,Entry Level,Confidential,2 hours ago
Technical Support Specialist/ IT Helpdesk Engineer,LinkMisr -,"10th of Ramadan City, Sharqia, Egypt ","['computer science', 'technical support', 'helpdesk', 'information technology (it)']",On-site,Full Time,Entry Level,Confidential,2 hours ago
Customer Service (Fluent English Speaker),3D Diagnostix -,"Maadi, Cairo, Egypt ","['call center agent', 'customer care', 'customer', 'call center', 'customer service', 'english', 'experience']",On-site,Full Time,Entry Level,Confidential,2 hours ago
Sales Engineer,DS HOME  -,"Cairo, Egypt ","['sketchup', 'autocad', 'furniture design', 'furniture sales', 'interior finishing design', 'interior finishing sales', 'request for quotation (rfq)', 'bill of quantity (boq)', 'sales target achievement']",On-site,Full Time,Experienced,Confidential,2 hours ago
Sales Engineer (Agriculture),Magico group  -,"Obour City, Cairo, Egypt ","['agricultural engineering', 'r&d', 'technical support', 'sales engineering', 'export sales', 'sales coordination', 'agriculture']",Hybrid,Full Time,Experienced,Confidential,2 hours ago
Compensation Benefits Specialist,Holw El Sham  -,"6th of October, Giza, Egypt ","['compensation', 'payroll', 'human resources (hr)', 'customer service', 'communication', 'problem solving', 'initiative taking', 'follow through', 'working effectively with others']",On-site,Full Time,Experienced,Confidential,3 hours ago
Staffing & Recruitment Specialist,Holw El Sham  -,"6th of October, Giza, Egypt ","['recruitment', 'staffing', 'personnel', 'microsoft office', 'erp', 'communication', 'problem solving', 'priority setting', 'thinking and problem solving']",On-site,Full Time,Experienced,Confidential,3 hours ago
Architectural Project Coordinator,Confidential -,"Mokattam, Cairo, Egypt ","['project coordination', 'architectural engineering', 'project management', 'architecture', 'fit-out', 'interior finishing', 'construction management', 'technical coordination']",On-site,Full Time,Experienced,Confidential,3 hours ago
Administrative Manager,El Mohandess Print House -,"10th of Ramadan City, Sharqia, Egypt ","['administration', 'microsoft office', 'office management']",On-site,Full Time,Manager,Confidential,3 hours ago
